id,분류,언어,항목,수량,파일명,납품px_2x,9slice_LRTB,상태변형,사용처,시안커버,우선순위,상태,비고
UA01,재납품,종이,대형 종이 패널(아이템 상세),1,panel_item.png,1236x1828,"180/180/180/180",-,ItemDetailUI,O,P0,⬜,현재 440x650 — 1.41x 업스케일 중 · 종이 9패널 공용 배경
UA02,재납품,프레임,대형 어두운 패널(창고),1,panel_storage.png,1450x2052,"180/180/180/180",-,CharacterPanelUI/ShopUI,O,P0,⬜,현재 516x730 · 프레임 15패널 공용 배경
UA03,재납품,프레임,소형 프레임,1,frame_box.png,214x214,"24/24/24/24",-,공용 팝업/섹션,O,P0,⬜,현재 76x76
UA04,재납품,프레임,아이콘 박스,1,frame_itembox.png,254x282,"32/32/32/32",-,ItemDetailUI 아이콘,O,P0,⬜,현재 90x100 · 종이 위에 얹히는 유일한 프레임(예외 허용)
UA05,재납품,프레임,격자 셀,1,slot_grid.png,258x258,"24/24/24/24",-,인벤/창고/도감 격자,O,P0,⬜,현재 92x92 · 가장 많이 반복되는 파츠
UA06,재납품,공용,버튼 Primary,1,btn_primary.png,652x140,"48/48/0/0",normal,EQUIP/구매 등,O,P0,⬜,현재 232x50 · 종이/프레임 양쪽에서 사용
UA07,재납품,공용,버튼 Secondary,1,btn_secondary.png,652x140,"48/48/0/0",normal,DROP/취소 등,O,P0,⬜,현재 232x50
UA08,재납품,프레임,탭 ON,1,tab_on.png,196x152,"24/24/0/0",on,카테고리 탭,O,P0,⬜,현재 70x54
UA09,재납품,프레임,탭 OFF,1,tab_off.png,196x152,"24/24/0/0",off,카테고리 탭,O,P0,⬜,현재 70x54
UA10,재납품,종이,종이 태그(제목),1,tag_title_m.png,332x140,고정(9slice 불가),-,패널 제목,O,P0,⬜,비대칭 찢김 — 폭 변형 별도(UB21)
UA11,재납품,종이,종이 태그(아이콘형),1,tag_icon.png,472x466,고정,-,제목+아이콘 조합,O,P1,⬜,현재 168x166
UA12,재납품,종이,배너 A,1,tag_banner_a.png,658x140,"48/48/0/0",-,상단 헤더,O,P1,⬜,현재 234x50
UA13,재납품,종이,배너 B,1,tag_banner_b.png,478x168,"48/48/0/0",-,상단 헤더 변형,O,P1,⬜,현재 170x60
UB01,공용파츠,공용,버튼 Primary pressed,1,btn_primary_pressed.png,652x140,"48/48/0/0",pressed,전 버튼,X,P0,⬜,미결#1 — 틴트로 대체 가능
UB02,공용파츠,공용,버튼 Secondary pressed,1,btn_secondary_pressed.png,652x140,"48/48/0/0",pressed,전 버튼,X,P0,⬜,미결#1
UB03,공용파츠,공용,버튼 disabled,2,btn_*_disabled.png,652x140,"48/48/0/0",disabled,전 버튼,X,P1,⬜,미결#1 — 틴트 권장
UB04,공용파츠,프레임,탭 hover,1,tab_hover.png,196x152,"24/24/0/0",hover,카테고리 탭,X,P1,⬜,
UB05,공용파츠,프레임,게이지 배경,1,bar_bg.png,400x48,"12/12/0/0",-,체력/스태미너/내구도/그로기/진행도,X,P0,⬜,회색조 납품 — 색은 엔진 틴트
UB06,공용파츠,프레임,게이지 채움,1,bar_fill.png,400x48,"12/12/0/0",-,동일,X,P0,⬜,반드시 흰색 — 코드가 틴트
