대상,캐릭터,분류,상태/모션,그립/변형,프레임(대략),우선순위,비고
플레이어,주인공,이동,Idle,맨손,~4(루프),P1,그립별 대기 자세
플레이어,주인공,이동,Idle,한손,~4(루프),P1,그립별 대기 자세
플레이어,주인공,이동,Idle,양손,~4(루프),P1,그립별 대기 자세
플레이어,주인공,이동,Idle,총,~4(루프),P1,그립별 대기 자세
플레이어,주인공,이동,Walk,맨손,~8(루프),P1,손 본 무기 어태치
플레이어,주인공,이동,Walk,한손,~8(루프),P1,손 본 무기 어태치
플레이어,주인공,이동,Walk,양손,~8(루프),P1,손 본 무기 어태치
플레이어,주인공,이동,Walk,총,~8(루프),P1,손 본 무기 어태치
플레이어,주인공,이동,Run,공용,~8(루프),P1,질주
플레이어,주인공,행동,약공1(Light1),-,6,P1,데미지8/판정 프레임 정의
플레이어,주인공,행동,약공2(Light2),-,6,P1,콤보 2타
플레이어,주인공,행동,약공3(Light3),-,8,P1,콤보 3타(마무리)
플레이어,주인공,행동,강공(Heavy),-,7,P1,차징 릴리즈/히트스탑0.05
플레이어,주인공,행동,강공풀차지(HeavyFull),-,9,P1,풀차지/히트스탑0.06
플레이어,주인공,행동,차징 루프,-,~4(루프),P2,노랑→빨강 그라데 비주얼
플레이어,주인공,행동,구르기(Dodge),-,~5,P1,0.2초 무적·반투명
플레이어,주인공,행동,피격(Hit),-,~3,P1,경직+넉백
플레이어,주인공,행동,사망/다운(Dead),-,~6,P1,중상 다운 연출
적,인간형 공용리그,AI,Idle/배회,-,~4(루프),P1,"Spine 리그 공유, 스킨만 교체"
적,인간형 공용리그,AI,Walk/Chase,-,~8(루프),P1,추격
적,인간형 공용리그,AI,공격예비(Windup),-,~6,P1,0.8초·빨강 깜빡
적,인간형 공용리그,AI,공격(Attack),-,~6,P1,히트윈도우 정의
적,인간형 공용리그,AI,피격(Hit),-,~3,P1,경직
적,인간형 공용리그,AI,그로기(Stunned),-,~4,P1,무방비·휘청
적,인간형 공용리그,AI,사망(Dead),-,~6,P1,쓰러짐
적,인간형 공용리그,AI,조준(Aim),원거리,~4,P2,밴딧 원거리 전용
적,인간형 공용리그,AI,발사/투척(Shoot),원거리,~5,P2,밴딧 원거리 전용
적,인간형 공용리그,AI,방패자세(Block),탱크,~4,P2,밴딧 탱크 전용·캔슬불가
적,배회자(낮),스킨,텍스처 세트(전 모션 적용),-,-,P2,느린 기본 적·학습용
적,약탈꾼 잔당(낮),스킨,텍스처 세트(전 모션 적용),-,-,P1,폐상가 약한 인간형
적,잠복자(낮),스킨,텍스처 세트(전 모션 적용),-,-,P2,기습형
적,밴딧 근접,스킨,텍스처 세트(전 모션 적용),-,-,P1,단검/파이프·콤보(폐상가 핵심)
적,밴딧 원거리,스킨,텍스처 세트(전 모션 적용),-,-,P2,활/투척·조준+발사 모션 사용
적,밴딧 탱크,스킨,텍스처 세트(전 모션 적용),-,-,P2,방패·대형(scale↑)·방패자세 사용
적,밴딧 협상꾼,스킨,텍스처 세트(전 모션 적용),-,-,P2,스토리 NPC형·idle+전투(npc-dialogue)
적,오염 변종(밤),스킨,텍스처 세트(전 모션 적용),-,-,P2,밴딧 리컬러+발광/현상 이펙트
적,이상체(밤),전용,Idle/부유,-,~4(루프),P3,비정상 외형·전용 스켈레톤
적,이상체(밤),전용,이동,-,~8(루프),P3,비정상 보행/부유
적,이상체(밤),전용,공격,-,~6,P3,비정상 패턴
적,이상체(밤),전용,피격,-,~3,P3,
적,이상체(밤),전용,그로기,-,~4,P3,
적,이상체(밤),전용,소멸/회귀(Despawn),-,~6,P3,현상으로 회귀 디졸브
적,이상체(밤),전용,변종 스킨,-,-,P3,지역별 외형(기계형/철도형/영혼형 등)
NPC,NPC 공용,정적,"대기(Idle, 정면)",-,~4(루프),P1,정면 1방향만·고개 끄덕임 정도
NPC,NPC 공용,정적,대화 제스처(정면),-,~4,P3,선택(손짓 등)
공용,이모트 아이콘,감정/상태,머리 위 말풍선 세트,-,8종,P1,표정 대신 이모트: 느낌표!/물음표?/호감♥/분노/곤란(땀)/놀람/대화…/수면Zzz
