id,cat,title,giver,type,target,qty,unlock,reward_scrap,reward_items,reward_rep,reward_trust,reward_unlock,repeat,flavor
MQ-001,MQ,민이를 찾아 주세요,board→veteran_scavenger,탐색,민이 흔적(창고 노크규칙),1,S-004,소,coin_scrap:10,10,,SQ-002,일회,프롤로그 민이찾기
MQ-002,MQ,첫 루디 회수,board→veteran_scavenger→pawnshop,납품,ruby_shard,1,평판해금/S-013,중,,15,,전당포정식거래·DQ,일회,짙은현상 첫 루디
SQ-001,SQ,잔해 속 목소리,발견형,탐색/구출,갇힌 생존자,1,평판E·발견,중,랜덤,5,,2지역단서·파견인력,일회,파견 첫 인력 연결
SQ-002,SQ,회수꾼의 상자,veteran_scavenger,회수,약국 철제상자,1,MQ-001후,-,,,,거처(컨테이너),일회,동료유품 떡밥
SQ-003,SQ,멈춘 지하철,zone_manager,회수/운반,subway_motor+부품4종,5,평판B+,특대,,+,,지하철수리(2지역훅),일회,1지역 capstone
BD-01,BD,고철 수거,board,수집,scrap_metal,5,prologue_complete,소,tool_part:1,,,,반복,고철 다섯덩이만
BD-02,BD,통조림 구함,board,수집,canned_food,3,prologue_complete,소,water_bottle:1,,,,반복,아이가 굶고 있소
BD-03,BD,붕대 급구,board,수집,bandage,2,prologue_complete,소,painkiller:1,,,,반복,지혈할 천이 없소
BD-04,BD,배터리 요청,board,수집,battery_aa,2,prologue_complete,소,junk_*:1,,,,반복,손전등이 죽었소
BD-05,BD,잡동사니 수집,board,수집,junk_*,8,prologue_complete,중,junk_*:1,,,,반복,쓸만한거 여덟
BD-06,BD,기계 부품 구함,board,수집,tool_part,3,prologue_complete,중,repair_kit:1,,,,반복,수리할 물건이 밀렸소
BD-07,BD,약탈꾼 정리,board,처치,밴딧(안전),3,prologue_complete,중,ammo_rounds:1,,,,반복,골목에 약탈꾼 셋
BD-08,BD,길목 청소,board,처치,밴딧(골목),2,prologue_complete,소,,,1(vendor),,반복,장보러갈 길을 막소
BD-09,BD,거친 놈 하나,board,처치,정예 밴딧,1,prologue_complete,중,knife:1|coat_light:1,,,랜덤,반복,사나운 놈 하나
BD-10,BD,현상 구역 솎기,board,처치,현상 밴딧(탐지등),2,평판C,중,battery_aa:2,,,,반복,불빛 챙겨 가시오
BD-12,BD,창고 소리 조사,board,탐색,창고 POI,1,prologue_complete,소,map_fragment:1,,,,반복,창고서 소리가 나오
BD-13,BD,북쪽 길 확인,board,탐색,북쪽 진입로 POI,1,prologue_complete,소,map_fragment:1,,,,반복,★떡밥 북쪽 길
BD-14,BD,무너진 상점,board,탐색,붕괴 상점,1,평판E,소,랜덤,,,SQ-001힌트,반복,옛 상점이 무너졌다
BD-15,BD,현상 경계 정찰,board,탐색,현상 경계 POI,2,평판C,중,ruby_shard:1,,,,반복,★경계가 움직였소
BD-16,BD,이상한 신호,board,탐색,신호원 POI,1,prologue_complete,중,junk_*:1,,,단서플래그,반복,★라디오 잡음
BD-17,BD,전력체 매입,board,납품,ruby_shard,1,평판C,대,,1,1(pawnshop),,반복,전력체 후하게(가중10%)
BD-18,BD,근방 정밀 수색,board,탐색,파밍 포인트,3,prologue_complete,소,루트테이블롤,,,,반복,근방 싹 훑어주오
BD-19,BD,분실물을 찾소,board,수집,note_nameplate,1,prologue_complete,중,랜덤,,1(veteran),,반복,★서명 없는 의뢰
BD-20,BD,묻지 마시오,board,수집,pkg_marked,1,prologue_complete,중×2,미지보상(희귀롤),,,,반복,★표식만 남은 의뢰
BQ-E01,BQ,고철 좀 줍게,board→veteran,수집,scrap_metal,5,평판E,소,,3,,,반복,
